state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
NC,NC-HD-52,R,Safe,Jamie Boles,Lowell Simon,R,,,1.6018823898271362,D,37052,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_52,http://www.simonfornchouse.com/,https://www.jamiebolesnc.com/,
NC,NC-HD-26,R,Safe,Donna McDowell White,Linda Bennett,R,Denton Lee,Independent,1.5989038485888103,D,37026,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_26,https://ballotpedia.org/Linda_Bennett_(North_Carolina),https://donnawhitenc26.com,https://ballotpedia.org/Denton_Lee
NC,NC-HD-15,R,Safe,Phillip Shepard,Carolyn Gomaa,R,,,1.5683526978710065,D,37015,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_15,https://ballotpedia.org/Carolyn_Gomaa,https://ballotpedia.org/Phillip_Shepard,
NC,NC-HD-53,R,Safe,Howard Penny Jr.,Sally Benson,R,Zach Berly,L,1.53716242696846,D,37053,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_53,https://ballotpedia.org/Sally_Benson,https://ballotpedia.org/Howard_Penny_Jr.,https://ballotpedia.org/Zach_Berly
NC,NC-HD-100,D,Safe,Kalle Thompson,John Autry,D,,,1.4555721030068796,D,37100,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_100,http://www.johnautry.com,https://ballotpedia.org/Kalle_Thompson,
NC,NC-HD-102,D,Safe,Kyle Kirby,Becky Carney,D,,,1.4160190047813426,D,37102,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_102,https://www.beckycarney.com/,https://ballotpedia.org/Kyle_Kirby,
NC,NC-SD-3,D,Likely,Thomas Hester Jr.,Ernestine Bazemore,Open,,,1.3874515384105202,D,37003,SD,https://ballotpedia.org/North_Carolina_State_Senate_District_3,https://ballotpedia.org/Ernestine_Bazemore,https://ballotpedia.org/Thomas_Hester_Jr.,
NC,NC-HD-17,R,Safe,Frank Iler,Tom Simmons,R,,,1.341995622629678,D,37017,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_17,https://ballotpedia.org/Tom_Simmons,http://ilerforhouse.com,
NC,NC-HD-27,D,Safe,Warren Scott Nail,Michael Wray,D,,,1.303244439352921,D,37027,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_27,https://www.wrayfornc.com,https://ballotpedia.org/Warren_Scott_Nail,
NC,NC-HD-72,D,Safe,Dan Lawlor,Amber Baker,Open,,,1.273187702362936,D,37072,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_72,https://vote4amberbaker.com/,https://ballotpedia.org/Dan_Lawlor,
NC,NC-HD-5,D,Safe,Donald Kirkland,Howard Hunter III,Open,,,1.2698293066751882,D,37005,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_5,https://ballotpedia.org/Howard_Hunter_III,https://ballotpedia.org/Donald_Kirkland,
NC,NC-HD-34,D,Safe,Ronald Smith,Grier Martin,D,Michael Munger,L,1.2664287049375051,D,37034,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_34,http://www.griermartin.com,https://ronsmith4nc34.com/,https://ballotpedia.org/Michael_Munger
NC,NC-HD-99,D,Safe,Russell Rowe,Nasif Majeed,D,,,1.261171037002647,D,37099,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_99,http://majeednc.com/,https://ballotpedia.org/Russell_Rowe,
NC,NC-HD-44,D,Safe,Heather Holmes,William Richardson,D,,,1.2601641212398933,D,37044,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_44,https://www.electbillyrichardson.com,https://ballotpedia.org/Heather_Holmes,
NC,NC-HD-38,D,Safe,Kenneth Bagnal,Abraham P. Jones,Open,Richard Haygood,L,1.259500883312331,D,37038,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_38,https://ballotpedia.org/Abraham_P._Jones_(North_Carolina),https://ballotpedia.org/Kenneth_Bagnal,https://ballotpedia.org/Richard_Haygood
NC,NC-HD-23,D,Safe,Claiborne Holtzman,Shelly Willingham,D,Abbie Lane,G,1.2407252205266113,D,37023,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_23,https://ballotpedia.org/Shelly_Willingham,https://www.holtzmannchouse.com/,http://www.itsallforus.com/
NC,NC-HD-58,D,Safe,Clinton Honey,Amos Quick,D,,,1.2304570915208046,D,37058,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_58,https://ballotpedia.org/Amos_Quick,https://ballotpedia.org/Clinton_Honey,
NC,NC-HD-32,D,Safe,David Woodson,Terry Garrison,D,,,1.1966681338293548,D,37032,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_32,http://www.garrisonfornchouse.com,https://ballotpedia.org/David_Woodson,
NC,NC-HD-107,D,Safe,Richard Rivette,"Kelly Alexander, Jr.",D,,,1.1904819327959095,D,37107,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_107,https://www.votekellyalexander.com,http://www.voterivette.biz/index.php/en/,
NC,NC-HD-11,D,Safe,Clark Pope,Allison Dahle,D,Adrian Travers,L,1.177440263365752,D,37011,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_11,https://www.allisonforhouse.com,https://cepope411.nationbuilder.com/,https://ballotpedia.org/Adrian_Travers
NC,NC-HD-92,D,Safe,Jerry Munden,Terry Brown Jr.,Open,,,1.1702049405196169,D,37092,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_92,https://www.voteterrybrown.com/,https://ballotpedia.org/Jerry_Munden,
NC,NC-HD-60,D,Safe,Frank Ragsdale,Cecil Brockman,D,,,1.1694934671064137,D,37060,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_60,http://cecilfornc.com,https://ballotpedia.org/Frank_Ragsdale,
NC,NC-HD-57,D,Safe,Chris Meadows,Ashton Clemmons,D,,,1.1634218253513655,D,37057,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_57,https://www.clemmonsfornc.org,https://ballotpedia.org/Chris_Meadows,
NC,NC-HD-41,D,Safe,Scott Populorum,Gale Adcock,D,Guy Meilleur,L,1.1628249112165594,D,37041,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_41,https://www.galeadcock.com,https://ballotpedia.org/Scott_Populorum,https://ballotpedia.org/Guy_Meilleur
NC,NC-HD-88,D,Safe,David Tondreau,Mary Belk,D,,,1.147944263896342,D,37088,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_88,http://www.marybelk.com,https://www.votetondreau.com,
NC,NC-HD-116,D,Safe,Eric Burns,Brian Turner,D,,,1.1178935563420618,D,37116,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_116,https://www.turnerfornchouse.com,https://ballotpedia.org/Eric_Burns,
NC,NC-HD-8,D,Safe,Tony Moore,Kandie Smith,D,,,1.1011558428246702,D,37008,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_8,https://kandiesmith.com,https://ballotpedia.org/Tony_Moore_(North_Carolina),
NC,NC-HD-48,D,Safe,Johnny Boyles,Garland Pierce,D,,,1.099919808505122,D,37048,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_48,https://ballotpedia.org/Garland_Pierce,https://ballotpedia.org/Johnny_Boyles,
